property_type,society,sector,price,built_up_area,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_score
flat, Krisumi Waterside Residences,36,16.91,7046.0,23999.43,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, SIGNATURE GLOBAL PARK I EXT,36,1.48,1195.0,12384.94,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, Experion The Trillion,48,7.37,2520.0,29246.03,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, BPTP Astaire Gardens,70,1.68,2512.0,6687.9,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, Elan The Statement,49,18.1,7270.0,24896.84,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, The Palatial by Hero Homes,104,5.71,1808.0,31581.86,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Adani M2K Oyster Grande,102,2.46,1889.0,13022.76,3,0,3,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Luxury Floors Gurgaon,57,5.9,4500.0,13111.11,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, ,37,2.81,1000.0,28100.0,3,0,0,32.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Conscient Heritage Max,102,3.44,2554.0,13469.07,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Experion W,112,13.49,8300.0,16253.01,5,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Tulip Monsella,53,9.96,1646.0,60510.33,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Independent Floors at DLF City Phase IV,,2.75,1775.0,15492.96,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, M3M Forestia West I,,2.35,1910.0,12303.66,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Signature Global Park,36,1.4,1439.0,9728.98,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Central Park Delph,104,2.87,962.0,29833.68,0,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, Paras Dews,106,2.47,1403.0,17605.13,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, M3M Crown Phase 1,111,4.32,2400.0,18000.0,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, Satya Levante Residences,104,4.76,3463.0,13745.31,5,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Independent Floors at DLF Gardencity Enclave,93,1.9,1500.0,12666.67,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, ,89,2.09,1600.0,13062.5,3,0,0,3.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Luxury Builder Floors,37,2.85,1000.0,28500.0,3,0,0,32.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, ,102,4.31,1800.0,23944.44,3,0,0,32.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, ,62,4.5,2266.0,19858.78,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Emaar Urban Oasis,102,2.6,1000.0,26000.0,3,0,0,10.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, ,113,4.39,2190.0,20045.66,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, M3M Mansion,,2.25,1611.0,13966.48,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Ganga Kashi Residences ,70,4.42,1858.0,23789.02,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Tulip Crimson,113,2.67,1650.0,16181.82,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, M3M Capital,80,2.7,1995.0,13533.83,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Conscient Elaira Residences Phase 1,104,1.56,683.0,22840.41,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, Hero Homes,,1.92,2294.0,8369.66,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, JMS The Majestic,86,4.7,1571.0,29917.25,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Emaar Serenity Hills,93,3.6,1408.0,25568.18,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Ashiana Amarah Phase 5,102,4.31,1800.0,23944.44,3,0,0,32.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, ,61,2.7,1630.0,16564.42,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Smartworld Orchard,37,3.62,1800.0,20111.11,3,0,0,32.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, ,59,2.32,1221.0,19000.82,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, Paras Floret,102,3.77,2100.0,17952.38,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, BPTP GAIA Residences,37,1.8,2050.0,8780.49,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Ramprastha The Skyz,36,1.2,1081.0,11100.83,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Signature Global Park,79,2.85,1902.0,14984.23,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, M3M Golf Hills Phase 1,88,2.55,1400.0,18214.29,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, ROF Pravasa,35,1.63,1760.0,9261.36,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, NKV Golden Avenue,68,1.95,1595.0,12225.71,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
