property_type,society,sector,price,built_up_area,price_per_sqft,bedRoom,bathroom,balcony,agePossession,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_category,floor_category
flat,Krisumi Waterside,sector 36,16.91,7046.0,23999.43,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Signature Park I Ext,sector 36,1.48,1195.0,12384.94,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Experion Trillion,sector 48,7.37,2520.0,29246.03,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Bptp Astaire Gardens,sector 70,1.68,2512.0,6687.9,3,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Elan Statement,sector 49,18.1,7270.0,24896.84,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Palatial Hero,sector 104,5.71,1808.0,31581.86,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Adani Mk Oyster Grande,sector 102,2.46,1889.0,13022.76,3,0,3,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,,sector 57,5.9,4500.0,13111.11,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,,sector 37,2.81,1000.0,28100.0,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,Conscient Heritage Max,sector 102,3.44,2554.0,13469.07,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Experion W,sector 112,13.49,8300.0,16253.01,5,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Tulip Monsella,sector 53,9.96,1646.0,60510.33,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Independent Dlf,sector ,2.75,1775.0,15492.96,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3M Forestia West I,sector ,2.35,1910.0,12303.66,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Signature Park,sector 36,1.4,1439.0,9728.98,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Central Park Delph,sector 104,2.87,962.0,29833.68,0,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Paras Dews,sector 106,2.47,1403.0,17605.13,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3M Crown,sector 111,4.32,2400.0,18000.0,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Satya Levante,sector 104,4.76,3463.0,13745.31,5,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Independent Dlf Gardencity Enclave,sector 93,1.9,1500.0,12666.67,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,,sector 89,2.09,1600.0,13062.5,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Mid Floor
flat,Luxury Builder,sector 37,2.85,1000.0,28500.0,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 102,4.31,1800.0,23944.44,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 62,4.5,2266.0,19858.78,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Emaar Urban Oasis,sector 102,2.6,1000.0,26000.0,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 113,4.39,2190.0,20045.66,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3Mansion,sector ,2.25,1611.0,13966.48,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Ganga Kashi,sector 70,4.42,1858.0,23789.02,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Tulip Crimson,sector 113,2.67,1650.0,16181.82,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3M Capital,sector 80,2.7,1995.0,13533.83,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Conscient Elaira,sector 104,1.56,683.0,22840.41,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Hero,sector ,1.92,2294.0,8369.66,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Jms Majestic,sector 86,4.7,1571.0,29917.25,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Emaar Serenity Hills,sector 93,3.6,1408.0,25568.18,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Ashiana Amarah,sector 102,4.31,1800.0,23944.44,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 61,2.7,1630.0,16564.42,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Smartworld Orchard,sector 37,3.62,1800.0,20111.11,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 59,2.32,1221.0,19000.82,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Paras Floret,sector 102,3.77,2100.0,17952.38,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Bptp Gaia,sector 37,1.8,2050.0,8780.49,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
