property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_score
flat,,,16.91,23999.43,0,0,0,0.0,New Property,7046.0,0,0,0,0,0,Unfurnished,15
flat,,,1.48,12384.94,0,0,0,0.0,New Property,1195.0,0,0,0,0,0,Unfurnished,15
flat,,,7.37,29246.03,0,0,0,0.0,New Property,2520.0,0,0,0,0,0,Unfurnished,15
flat,,,1.68,6687.9,0,0,0,0.0,New Property,2512.0,0,0,0,0,0,Unfurnished,15
flat,,,18.1,24896.84,0,0,0,0.0,New Property,7270.0,0,0,0,0,0,Unfurnished,15
flat,,,5.71,31581.86,0,0,0,0.0,New Property,1808.0,0,0,0,0,0,Unfurnished,15
flat,,,2.46,13022.76,0,0,0,0.0,New Property,1889.0,0,0,0,0,0,Unfurnished,15
flat,,,5.9,13111.11,0,0,0,0.0,New Property,4500.0,0,0,0,0,0,Unfurnished,15
flat,,,2.81,28100.0,0,0,0,0.0,New Property,1000.0,0,0,0,0,0,Unfurnished,15
flat,,,3.44,13469.07,0,0,0,0.0,New Property,2554.0,0,0,0,0,0,Unfurnished,15
flat,,,13.49,16253.01,0,0,0,0.0,New Property,8300.0,0,0,0,0,0,Unfurnished,15
flat,,,9.96,60510.33,0,0,0,0.0,New Property,1646.0,0,0,0,0,0,Unfurnished,15
flat,,,2.75,15492.96,0,0,0,0.0,New Property,1775.0,0,0,0,0,0,Unfurnished,15
flat,,,2.35,12303.66,0,0,0,0.0,New Property,1910.0,0,0,0,0,0,Unfurnished,15
flat,,,1.4,9728.98,0,0,0,0.0,New Property,1439.0,0,0,0,0,0,Unfurnished,15
flat,,,2.87,29833.68,0,0,0,0.0,New Property,962.0,0,0,0,0,0,Unfurnished,15
flat,,,2.47,17605.13,0,0,0,0.0,New Property,1403.0,0,0,0,0,0,Unfurnished,15
flat,,,4.32,18000.0,0,0,0,0.0,New Property,2400.0,0,0,0,0,0,Unfurnished,15
flat,,,4.76,13745.31,0,0,0,0.0,New Property,3463.0,0,0,0,0,0,Unfurnished,15
flat,,,1.9,12666.67,0,0,0,0.0,New Property,1500.0,0,0,0,0,0,Unfurnished,15
flat,,,2.09,13062.5,0,0,0,0.0,New Property,1600.0,0,0,0,0,0,Unfurnished,15
flat,,,2.85,28500.0,0,0,0,0.0,New Property,1000.0,0,0,0,0,0,Unfurnished,15
flat,,,4.31,23944.44,0,0,0,0.0,New Property,1800.0,0,0,0,0,0,Unfurnished,15
flat,,,4.5,19858.78,0,0,0,0.0,New Property,2266.0,0,0,0,0,0,Unfurnished,15
flat,,,2.6,26000.0,0,0,0,0.0,New Property,1000.0,0,0,0,0,0,Unfurnished,15
flat,,,4.39,20045.66,0,0,0,0.0,New Property,2190.0,0,0,0,0,0,Unfurnished,15
flat,,,2.25,13966.48,0,0,0,0.0,New Property,1611.0,0,0,0,0,0,Unfurnished,15
flat,,,4.42,23789.02,0,0,0,0.0,New Property,1858.0,0,0,0,0,0,Unfurnished,15
