Canonical_Location,Variant_Count,All_Variants
"Euro Int School, Sector 37D, Gurugram",12,"Euro Int School, Sector 37D, Gurugram | Euro Int. School | Euro International School | Euro International School, Sec 84 | Euro International School, Sector 37D | Euro International School, Sector 84 | Euro International School, Sector- 109 | Euro International School, Sector- 109. | Euro International School, sector- 51 | Euro Intl School Sec-51 | Euro Intl School, Sector 37D, Gurugram | Euro Intl School, Sector- 109"
Sector 55-56 Metro,8,Sector 55-56 Metro | Sector 55-56 Metro Station | Sector 55-56 Metro station | Sector 55-56 Rapid Metro | Sector 55-56 Rapid Metro Station | Sector 55-56 metro | Sector 55-56 metro station | Sector 55-56 rapid metro station
Badshahpur Sohna Rd Hwy,7,"Badshahpur Sohna Rd Hwy | Badshahpur Sohna Rd Hwy, Haryana | Badshahpur Sohna Rd Hwy, Malibu Town | Badshahpur Sohna Rd Hwy, Raghav Vatika | Badshahpur Sohna Rd Hwy, Rajoria Ngr | Badshahpur Sohna Rd Hwy, Sector 68 | Badshahpur Sohna Rd Hwy,Sector 48"
Dwarka Expressway Link Road,7,"Dwarka Expressway Link Road | Dwarka Expy, Block D, New Palam Vihar | Dwarka Expy, Dhanwapur Village | Dwarka Expy, Sector 109 | Dwarka Expy, Sector 88 | Dwarka Expy/Northern Peripheral Rd | Dwarka expressway Basai crossing"
IMT Manesar,7,"IMT Manesar | Imt Manesar | Imt Manesar, Gurugram | NH-8 IMT Manesar | NH-8, IMT Manesar | NH-8, Imt Manesar | Numberdar market, IMT Manesar"
Holiday Inn,6,Holiday Inn | Holiday Inn Express Gurugram | Holiday Inn Gurugram | Holiday Inn Gurugram Sector 90 | Holiday Inn Hotel Sector 90 | Holiday Inn Sector 90
Miracles Apollo Cradle,6,Miracles Apollo Cradle | Miracles Apollo Cradle / Spectra | Miracles Apollo Cradle /Spectra Hospital | Miracles Apollo Cradle Hospital | Miracles Apollo Cradle Spectra Hospital | Miracles Apollo Cradle/Spectra Hospital
CANARA BANK,5,CANARA BANK | Canara Bank | Canara Bank - Nawada Fatehpur | Canara Bank ATM | Canara Bank New Palam Vihar
Delhi Public School,5,"Delhi Public School | Delhi Public School Gurugram Sector 67A | Delhi Public School Sector 84 | Delhi Public School, Sector 103 | Delhi Public School, Sector 84"
HUDA Metro Station,5,HUDA Metro Station | Huda Metro Station | Huda Metro Station (Gurugram) | Huda Metro station | Huda metro station
"HDFC Bank, Pataudi Rd",5,"HDFC Bank, Pataudi Rd | Pataudi Rd | Pataudi Rd, Sector 95B | Pataudi Road | Pataudi road"
Hyatt Regency,4,Hyatt Regency | Hyatt Regency Gurgaon | Hyatt Regency Gurugram | Hyatt Regency Hotel
"ICICI BANK ATM, Annapurna MKT",4,"ICICI BANK ATM, Annapurna MKT | ICICI Bank | ICICI Bank ATM | ICICI Bank ATM, Sector 86"
NH 248,4,NH 248 | NH 248 A | NH 248A | NH248A
Southern Peripheral Rd,4,"Southern Peripheral Rd | Southern Peripheral Rd, Dhani | Southern Peripheral Rd, Gurugram | Southern Peripheral Road"
NH 48,4,"NH 48 | NH 48 Gurugram | NH 48, Sector 78 | NH48"
